creating ring adjacency matrix...
done
N= 10000, B= 14, LOGN= 14
56 * (B + LOGN) ^ 2 = 43904
*** color 0 ***

phase 0:
clusters: 10000
max height: 0
----------------------
cluster	size	level	tokens	state
----------------------
459	1	0	1	ACTIVE
6419	1	0	1	ACTIVE
0	1	0	1	ACTIVE
920	1	0	1	ACTIVE
7698	1	0	1	ACTIVE
1816	1	0	1	ACTIVE
2735	1	0	1	ACTIVE
7038	1	0	1	ACTIVE
5640	1	0	1	ACTIVE
5725	1	0	1	ACTIVE
9880	1	0	1	ACTIVE
7931	1	0	1	ACTIVE
3864	1	0	1	ACTIVE
9057	1	0	1	ACTIVE
7861	1	0	1	ACTIVE
865	1	0	1	ACTIVE
6802	1	0	1	ACTIVE
6517	1	0	1	ACTIVE
5124	1	0	1	ACTIVE
533	1	0	1	ACTIVE
681	1	0	1	ACTIVE
6656	1	0	1	ACTIVE
6025	1	0	1	ACTIVE
4239	1	0	1	ACTIVE
910	1	0	1	ACTIVE
4053	1	0	1	ACTIVE
7479	1	0	1	ACTIVE
6228	1	0	1	ACTIVE
2501	1	0	1	ACTIVE
2327	1	0	1	ACTIVE
695	1	0	1	ACTIVE
3689	1	0	1	ACTIVE
3611	1	0	1	ACTIVE
6008	1	0	1	ACTIVE
1994	1	0	1	ACTIVE
1362	1	0	1	ACTIVE
2397	1	0	1	ACTIVE
8817	1	0	1	ACTIVE
394	1	0	1	ACTIVE
5613	1	0	1	ACTIVE
8106	1	0	1	ACTIVE
1049	1	0	1	ACTIVE
2339	1	0	1	ACTIVE
4108	1	0	1	ACTIVE
2048	1	0	1	ACTIVE
9401	1	0	1	ACTIVE
2353	1	0	1	ACTIVE
4809	1	0	1	ACTIVE
2153	1	0	1	ACTIVE
6554	1	0	1	ACTIVE
1834	1	0	1	ACTIVE
1478	1	0	1	ACTIVE
1605	1	0	1	ACTIVE
3284	1	0	1	ACTIVE
9201	1	0	1	ACTIVE
157	1	0	1	ACTIVE
3631	1	0	1	ACTIVE
2277	1	0	1	ACTIVE
5974	1	0	1	ACTIVE
8022	1	0	1	ACTIVE
8969	1	0	1	ACTIVE
7535	1	0	1	ACTIVE
7751	1	0	1	ACTIVE
59	1	0	1	ACTIVE
4913	1	0	1	ACTIVE
8839	1	0	1	ACTIVE
5888	1	0	1	ACTIVE
2012	1	0	1	ACTIVE
8747	1	0	1	ACTIVE
2000	1	0	1	ACTIVE
3563	1	0	1	ACTIVE
3820	1	0	1	ACTIVE
6927	1	0	1	ACTIVE
118	1	0	1	ACTIVE
7060	1	0	1	ACTIVE
7222	1	0	1	ACTIVE
5711	1	0	1	ACTIVE
4445	1	0	1	ACTIVE
1812	1	0	1	ACTIVE
2724	1	0	1	ACTIVE
5105	1	0	1	ACTIVE
7682	1	0	1	ACTIVE
8305	1	0	1	ACTIVE
6104	1	0	1	ACTIVE
5283	1	0	1	ACTIVE
4375	1	0	1	ACTIVE
6897	1	0	1	ACTIVE
7982	1	0	1	ACTIVE
395	1	0	1	ACTIVE
9132	1	0	1	ACTIVE
8491	1	0	1	ACTIVE
9858	1	0	1	ACTIVE
9838	1	0	1	ACTIVE
8288	1	0	1	ACTIVE
8216	1	0	1	ACTIVE
7302	1	0	1	ACTIVE
